Rank,Company,Market Cap
1,"Saudi Aramco
TADAWUL-2222",$1.58 T
2,"Al Rajhi Banking and Investment
TADAWUL-1120",$113.06 B
3,"Saudi Arabian Mining Company (Ma'aden)
TADAWUL-1211",$69.18 B
4,"The Saudi National Bank
TADAWUL-1180",$60.32 B
5,"Saudi Telecom Company
TADAWUL-7010",$58.86 B
6,"Saudi Basic Industries
TADAWUL-2010",$48.56 B
7,"ACWA Power Company
TADAWUL-2082",$43.52 B
8,"Dr. Sulaiman Al Habib Medical Services Group Company
TADAWUL-4013",$25.76 B
9,"Riyad Bank
TADAWUL-1010",$21.54 B
10,"Elm Company
TADAWUL-7203",$19.21 B
